名次 姓名 语文 数学 英语 物理 化学 生物 政治 历史 地理 总分 平均分
0 平均 72 73 70 72 74 72 61 74 78 650 72
1 小沈 94 95 72 86 78 78 不及格 95 96 737 81.8888888889
2 小郑 84 93 不及格 94 86 71 69 81 71 708 78.6666666667
3 小朱 97 91 88 86 86 不及格 61 不及格 82 701 77.8888888889
4 小施 88 74 不及格 不及格 78 87 96 88 90 687 76.3333333333
5 小何 86 不及格 86 不及格 76 92 79 95 不及格 663 73.6666666667
6 小张 不及格 87 不及格 88 95 78 91 不及格 94 662 73.5555555556
7 小赵 73 85 80 82 93 不及格 64 87 不及格 660 73.3333333333
8 小金 78 84 77 不及格 79 82 不及格 74 94 660 73.3333333333
9 小华 不及格 85 85 72 62 87 94 73 不及格 645 71.6666666667
10 小陈 98 90 64 71 90 65 不及格 不及格 89 640 71.1111111111
11 小魏 75 不及格 不及格 85 不及格 60 97 99 69 638 70.8888888889
12 小卫 70 67 不及格 96 94 69 62 72 72 635 70.5555555556
13 小孙 95 64 87 79 不及格 70 不及格 72 87 633 70.3333333333
14 小吴 不及格 83 80 94 90 86 不及格 不及格 64 629 69.8888888889
15 小吕 不及格 不及格 81 不及格 95 80 不及格 81 99 619 68.7777777778
16 小钱 不及格 91 81 92 72 不及格 不及格 65 83 617 68.5555555556
17 小杨 86 93 87 不及格 75 不及格 不及格 60 81 617 68.5555555556
18 小秦 不及格 不及格 64 78 89 91 不及格 94 61 612 68.0
19 小孔 不及格 86 88 83 80 90 不及格 78 不及格 610 67.7777777778
20 小曹 63 不及格 不及格 94 不及格 不及格 73 91 78 607 67.4444444444
21 小楮 90 不及格 70 不及格 88 73 69 74 60 605 67.2222222222
22 小严 不及格 71 77 60 91 79 90 不及格 61 602 66.8888888889
23 小许 不及格 72 99 不及格 不及格 92 62 92 65 601 66.7777777778
24 小蒋 82 不及格 63 70 60 67 不及格 69 92 600 66.6666666667
25 小李 87 不及格 81 不及格 73 不及格 不及格 74 97 591 65.6666666667
26 小冯 不及格 74 83 69 不及格 78 73 不及格 不及格 587 65.2222222222
27 小韩 83 70 不及格 74 不及格 不及格 不及格 93 78 578 64.2222222222
28 小尤 74 67 63 不及格 不及格 89 不及格 66 76 578 64.2222222222
29 小王 75 83 不及格 不及格 72 不及格 不及格 64 80 525 58.3333333333
30 小周 不及格 不及格 66 65 不及格 不及格 70 不及格 89 520 57.7777777778
